"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30500","Invalid Register Page Test","chromium","Mon Apr 21 11:46:49 IST 2025","broken","Mon Apr 21 11:47:20 IST 2025","","RegisterPageTest.spec.js","",""
"","5793","has title","chromium","Mon Apr 21 11:46:24 IST 2025","passed","Mon Apr 21 11:46:30 IST 2025","","example.spec.js","",""
"","23249","Valid Login The page","chromium","Mon Apr 21 11:46:24 IST 2025","passed","Mon Apr 21 11:46:48 IST 2025","","LoginPageTest.spec.js","",""
"","31054","Register Page Test","chromium","Mon Apr 14 20:58:37 IST 2025","broken","Mon Apr 14 20:59:09 IST 2025","","RegisterPageTest.spec.js","",""
"","7202","get started link","chromium","Mon Apr 21 11:46:24 IST 2025","passed","Mon Apr 21 11:46:32 IST 2025","","example.spec.js","",""
"","2032","First test","chromium","Mon Apr 21 11:47:12 IST 2025","passed","Mon Apr 21 11:47:14 IST 2025","","welcomeTest.spec.js","",""
"","23558","Invalid Login The page","chromium","Mon Apr 21 11:46:31 IST 2025","passed","Mon Apr 21 11:46:55 IST 2025","","LoginPageTest.spec.js","",""
"","20826","UI components test","chromium","Mon Apr 21 11:46:55 IST 2025","passed","Mon Apr 21 11:47:16 IST 2025","","UIcomponents.spec.js","",""
"","30665","Valid Register Page Test","chromium","Mon Apr 21 11:46:33 IST 2025","broken","Mon Apr 21 11:47:04 IST 2025","","RegisterPageTest.spec.js","",""
"","32194","Add to Cart","chromium","Mon Apr 21 11:46:25 IST 2025","broken","Mon Apr 21 11:46:57 IST 2025","","AddToCartPageTest.spec.js","",""
